Name of movie,Year of relase,Description,Watch time,movie rating,Metascore,votes,Gross collection
Gangs of New York,2002,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",167 ,7.5,72,"420,465",77.81
Ronin,1998,A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,122 ,7.3,67,"177,686",41.62
Casino,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",178 ,8.2,73,"488,321",42.44
Der Clou,1973,Two grifters team up to pull off the ultimate con.,129 ,8.3,83,"250,752",159.60
Verblendung,2011,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",158 ,7.8,71,"440,398",102.52
Bube Dame König grAS,1998,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",107 ,8.2,66,"555,387",3.90
Die Faust im Nacken,1954,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",108 ,8.1,91,"148,575",9.60
Mord im Orient-Express,1974,"In December 1935, when his train is stopped by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before.",128 ,7.3,63,"58,670",0.07
Dogville,2003,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",178 ,8,60,"143,581",1.53
Wer Gewalt sät,1971,A young American and his English wife come to rural England and face increasingly vicious local harassment.,113 ,7.5,73,"58,326",No data
Sieben,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",127 ,8.6,65,"1,517,968",100.13
Die Unbestechlichen,1987,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",119 ,7.9,79,"294,731",76.27
72 Stunden - The Next Three Days,2010,A married couple's life is turned upside down when the wife is accused of a murder.,133 ,7.3,52,"191,561",21.15
Das Parfum - Die Geschichte eines Mörders,2006,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",147 ,7.5,56,"241,094",2.22
Todeszug nach Yuma,2007,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,122 ,7.7,76,"298,078",53.61
Lucky Number Slevin,2006,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",110 ,7.7,53,"305,906",22.49
Fargo: Blutiger Schnee,1996,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,98 ,8.1,85,"643,672",24.61
Jackie Brown,1997,A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.,154 ,7.5,64,"331,087",39.67
Snatch: Schweine und Diamanten,2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",104 ,8.3,55,"812,063",30.33
Tödliche Entscheidung,2007,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife hurtling towards a shattering climax.",117 ,7.3,85,"100,459",7.08
Zodiac: Die Spur des Killers,2007,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",157 ,7.7,78,"496,622",33.08
Im Körper des Feindes: Face/Off,1997,"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge.",138 ,7.2,82,"360,564",112.23
Zwei Banditen,1969,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",110 ,8,66,"209,047",102.31
Road to Perdition,2002,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",117 ,7.7,72,"257,097",104.45
BlacKkKlansman,2018,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",135 ,7.5,83,"241,726",49.28
Nightcrawler - Jede Nacht hat ihren Preis,2014,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",117 ,7.8,76,"495,828",32.38
Traffic - Die Macht des Kartells,2000,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",147 ,7.6,86,"201,739",124.12
American History X,1998,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,119 ,8.5,62,"1,068,034",6.72
Mr. Brooks - Der Mörder in Dir,2007,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,120 ,7.3,45,"146,639",28.48
Midnight Run - 5 Tage bis Mitternacht,1988,"A bounty hunter pursues a former Mafia accountant who is also being chased by a rival bounty hunter, the F.B.I., and his old mob boss after jumping bail.",126 ,7.5,78,"82,036",38.41
Hexenkessel,1973,A small-time hood tries to keep the peace between his friend Johnny and Johnny's creditors.,112 ,7.2,96,"104,731",3.13
Lady Vengeance,2005,"After being wrongfully imprisoned for thirteen years and having her child taken away from her, a woman seeks revenge through increasingly brutal means.",115 ,7.6,75,"75,357",0.21
Baby Driver,2017,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",113 ,7.6,86,"477,641",107.83
Bonnie und Clyde,1967,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",111 ,7.8,86,"108,184",No data
The Score,2001,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,124 ,6.8,71,"124,972",71.07
Monster,2003,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",109 ,7.3,74,"143,761",34.47
American Gangster,2007,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",157 ,7.8,76,"406,406",130.16
